Country,Correlation,Annual CO₂ emissions growth (%)_1951,Annual CO₂ emissions growth (%)_1952,Annual CO₂ emissions growth (%)_1953,Annual CO₂ emissions growth (%)_1954,Annual CO₂ emissions growth (%)_1955,Annual CO₂ emissions growth (%)_1956,Annual CO₂ emissions growth (%)_1957,Annual CO₂ emissions growth (%)_1958,Annual CO₂ emissions growth (%)_1959,Annual CO₂ emissions growth (%)_1960,Annual CO₂ emissions growth (%)_1961,Annual CO₂ emissions growth (%)_1962,Annual CO₂ emissions growth (%)_1963,Annual CO₂ emissions growth (%)_1964,Annual CO₂ emissions growth (%)_1965,Annual CO₂ emissions growth (%)_1966,Annual CO₂ emissions growth (%)_1967,Annual CO₂ emissions growth (%)_1968,Annual CO₂ emissions growth (%)_1969,Annual CO₂ emissions growth (%)_1970,Annual CO₂ emissions growth (%)_1971,Annual CO₂ emissions growth (%)_1972,Annual CO₂ emissions growth (%)_1973,Annual CO₂ emissions growth (%)_1974,Annual CO₂ emissions growth (%)_1975,Annual CO₂ emissions growth (%)_1976,Annual CO₂ emissions growth (%)_1977,Annual CO₂ emissions growth (%)_1978,Annual CO₂ emissions growth (%)_1979,Annual CO₂ emissions growth (%)_1980,Annual CO₂ emissions growth (%)_1981,Annual CO₂ emissions growth (%)_1982,Annual CO₂ emissions growth (%)_1983,Annual CO₂ emissions growth (%)_1984,Annual CO₂ emissions growth (%)_1985,Annual CO₂ emissions growth (%)_1986,Annual CO₂ emissions growth (%)_1987,Annual CO₂ emissions growth (%)_1988,Annual CO₂ emissions growth (%)_1989,Annual CO₂ emissions growth (%)_1990,Annual CO₂ emissions growth (%)_1991,Annual CO₂ emissions growth (%)_1992,Annual CO₂ emissions growth (%)_1993,Annual CO₂ emissions growth (%)_1994,Annual CO₂ emissions growth (%)_1995,Annual CO₂ emissions growth (%)_1996,Annual CO₂ emissions growth (%)_1997,Annual CO₂ emissions growth (%)_1998,Annual CO₂ emissions growth (%)_1999,Annual CO₂ emissions growth (%)_2000,Annual CO₂ emissions growth (%)_2001,Annual CO₂ emissions growth (%)_2002,Annual CO₂ emissions growth (%)_2003,Annual CO₂ emissions growth (%)_2004,Annual CO₂ emissions growth (%)_2005,Annual CO₂ emissions growth (%)_2006,Annual CO₂ emissions growth (%)_2007,Annual CO₂ emissions growth (%)_2008,Annual CO₂ emissions growth (%)_2009,Annual CO₂ emissions growth (%)_2010,Annual CO₂ emissions growth (%)_2011,Annual CO₂ emissions growth (%)_2012,Annual CO₂ emissions growth (%)_2013,Annual CO₂ emissions growth (%)_2014,Annual CO₂ emissions growth (%)_2015,Annual CO₂ emissions growth (%)_2016,Annual CO₂ emissions growth (%)_2017,Annual CO₂ emissions growth (%)_2018,Annual CO₂ emissions growth (%)_2019,Annual CO₂ emissions growth (%)_2020,Annual CO₂ emissions growth (%)_2021,Population Growth %_1951,Population Growth %_1952,Population Growth %_1953,Population Growth %_1954,Population Growth %_1955,Population Growth %_1956,Population Growth %_1957,Population Growth %_1958,Population Growth %_1959,Population Growth %_1960,Population Growth %_1961,Population Growth %_1962,Population Growth %_1963,Population Growth %_1964,Population Growth %_1965,Population Growth %_1966,Population Growth %_1967,Population Growth %_1968,Population Growth %_1969,Population Growth %_1970,Population Growth %_1971,Population Growth %_1972,Population Growth %_1973,Population Growth %_1974,Population Growth %_1975,Population Growth %_1976,Population Growth %_1977,Population Growth %_1978,Population Growth %_1979,Population Growth %_1980,Population Growth %_1981,Population Growth %_1982,Population Growth %_1983,Population Growth %_1984,Population Growth %_1985,Population Growth %_1986,Population Growth %_1987,Population Growth %_1988,Population Growth %_1989,Population Growth %_1990,Population Growth %_1991,Population Growth %_1992,Population Growth %_1993,Population Growth %_1994,Population Growth %_1995,Population Growth %_1996,Population Growth %_1997,Population Growth %_1998,Population Growth %_1999,Population Growth %_2000,Population Growth %_2001,Population Growth %_2002,Population Growth %_2003,Population Growth %_2004,Population Growth %_2005,Population Growth %_2006,Population Growth %_2007,Population Growth %_2008,Population Growth %_2009,Population Growth %_2010,Population Growth %_2011,Population Growth %_2012,Population Growth %_2013,Population Growth %_2014,Population Growth %_2015,Population Growth %_2016,Population Growth %_2017,Population Growth %_2018,Population Growth %_2019,Population Growth %_2020,Population Growth %_2021
Afghanistan,-0.048666201,8.69565,0,15.999996,0,44.82758,19.047619,60.000004,12.5,16.621483,7.622516,18.58318,40.300896,2.6346445,18.651236,20.078205,8.366335,17.47738,-4.561633,-23.063683,77.46921,13.359523,-19.181234,6.8681836,16.979874,10.88419,-6.6241684,20.36066,-9.683645,3.6898732,-21.339209,12.649357,5.8690906,20.308268,11.967921,24.09613,-10.50365,-0.6324589,-8.251262,-3.2217145,-26.783646,-5.435151,-22.579884,0.32987595,-2.2269845,-2.5107503,-3.331834,-4.8136473,-1.9666433,-14.615833,-4.077542,2.0981312,25.432373,16.301846,-20.669056,52.71865,14.279437,29.666351,51.95055,50.239098,30.865932,41.52533,-15.2302265,-7.820421,-0.8669913,6.769502,-7.389319,8.826709,9.627903,2.4364233,7.277322,3.3233523,1.158002773,1.217503832,1.243150874,1.274638329,1.378483801,1.474597954,1.531910067,1.518499444,1.625777857,1.838849869,1.964984345,2.055991874,2.115896369,2.171327423,2.234538476,2.254177528,2.284322736,2.32501994,2.3457548,2.401438038,2.383250868,2.400383872,2.506470334,2.505397385,2.398148726,2.188105163,2.093503958,1.967625507,0.348602238,-3.866990316,-10.67885194,-9.581356066,-1.371217087,2.922340359,2.609258754,-0.595185498,-1.169435257,0.626832106,2.83238711,0.237678477,0.492050969,12.22175661,16.14340582,10.35908931,6.21274603,4.150675949,3.930798266,3.883697987,4.072515333,1.36334471,0.654763418,6.577520211,7.764253018,3.95703941,3.638579517,4.246283227,1.680679112,1.941082058,3.667597707,2.958685667,3.878761655,4.308158409,3.661055674,3.893120727,3.282796633,2.689697965,2.984575704,2.982430823,3.003898558,3.246807829,2.938011479
Albania,0.263945652,35.80959,-7.273793,10.78602,21.241974,32.09685,26.513027,79.4977,-20.200623,20.12992,40.10979,12.674212,8.040261,-15.481615,-3.1683922,7.8157783,17.375338,5.017066,14.630138,5.6069374,15.369833,16.273285,29.667604,-6.2357664,-17.874033,5.750537,7.754576,15.567303,13.536048,16.833841,-31.818872,41.94263,-0.43619275,4.4228196,2.5566578,0.71092844,2.239883,-7.582402,-1.5826225,22.60741,-38.565563,-22.286987,-41.329056,-7.11596,-17.715704,8.590221,-3.425318,-23.519062,13.71994,70.18183,1.2969732,6.470573,16.382254,14.812875,-2.946788,2.0286202,-8.229619,0.9782076,11.346579,0.21625757,8.562541,11.095858,-8.74213,9.018553,13.469315,-21.459686,-1.7012417,14.271843,-7.521093,-1.3893723,3.9771914,-2.2966862,2.983179745,2.99636787,3.066199757,3.168339018,3.241606806,3.27493619,3.289920717,3.311274933,3.332060663,3.313230044,3.264570024,3.199624472,3.125682383,3.052424864,2.971898513,2.910206676,2.899518402,2.928165257,2.952800605,2.935361303,2.893101406,2.853386388,2.796368054,2.728840301,2.657277442,2.558393944,2.421404476,2.260301641,2.090720326,1.937134876,1.803912993,1.69340579,1.580584208,1.439899581,1.275837186,1.095252376,0.913399421,0.729088551,0.522286465,0.318155089,0.128503975,-0.051484349,-0.206372083,-0.322490657,-0.406309269,-0.497394647,-0.627702133,-0.738452455,-0.797688199,-0.854227059,-0.911410857,-0.95328705,-0.96013681,-0.945586537,-0.926540926,-0.899986244,-0.834926854,-0.739163734,-0.63076297,-0.49610946,-0.357557153,-0.231310886,-0.145269536,-0.104947265,-0.103018052,-0.142618394,-0.173660371,-0.214602244,-0.288136687,-0.417313257,-0.570983399
Algeria,0.168257099,9.186316,-5.857211,2.823174,3.8333416,10.94035,8.433044,10.851395,-5.832797,8.49421,8.736479,-1.5496194,-6.521058,-4.272312,4.13146,16.75495,27.810883,0.1273632,7.337284,24.449444,33.703304,23.843407,51.867855,35.147713,-16.721981,0.39070845,22.279978,6.9352627,49.254143,-27.07492,45.824265,-30.225159,-15.46967,34.030758,35.126186,2.3433685,4.780841,10.256397,-0.20916462,-4.6587825,-3.8475215,2.6964664,1.3659716,2.5795817,8.132898,9.218681,3.3711672,-11.665416,20.558178,-14.161766,-6.616253,1.6869664,4.437089,4.2872787,-3.030634,21.019958,-4.5916023,3.7709236,1.090157,6.9935203,-0.42325854,5.695927,8.457375,3.7679195,7.4555516,5.820012,-1.0030925,4.1695476,3.7473083,4.262829,-4.863131,6.081736,2.942524824,2.802784033,2.648603091,2.434827185,2.205418416,2.099214875,2.036994318,1.990022432,1.938596791,1.882953309,1.643454173,1.454628886,1.555549183,1.695191642,1.600157988,1.785056602,2.174603046,2.250942093,2.284852252,2.315688691,2.373246365,2.441703118,2.506404803,2.584606213,3.828994445,4.896727912,3.787915957,2.909573711,3.056516618,3.193239348,3.332865627,3.43445771,3.485243515,3.503380527,3.502014328,3.413778122,3.067512045,2.752397869,2.632009529,2.49427319,2.384719836,2.338385797,2.284253216,2.160006978,1.978174716,1.826671184,1.775219227,1.648958134,1.542366137,1.56749154,1.566009642,1.5389803,1.546298272,1.5973893,1.52463717,1.57604904,1.74675753,1.799695306,1.852936859,1.87715286,1.87471176,1.87833182,1.855189505,1.819200596,1.81403197,1.786726931,1.729371092,1.678002174,1.625548385,1.540022901,1.494277957
Andorra,0.177211281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.90090036,-0.8928597,4.504502,6.8965554,2.4193525,5.5118084,4.47762,2.1428466,0,1.3985991,0.6896496,4.794526,2.614379,-5.0955415,-1.3422847,0,-4.0816364,0,-4.9645305,-0.74626803,-2.2556365,-3.076923,0.79364777,0.7874012,-0.78125,6.2992096,-2.222222,-22.727276,-2.8582275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.47087397,3.429645719,3.30639184,3.128138901,2.97693587,1.774224682,0.649270598,0.585410588,0.532358332,0.487610955,2.585396912,4.58222486,4.377135416,4.069099902,3.6856301,0.408485865,-2.58487389,-2.68954985,-2.868153101,-3.132400788,-1.372934315,0.564116078,0.409771156,0.235452694,0.055506121,1.05860654,1.796512237,1.554386862,1.722193635,1.764341836,1.667384987
Angola,-0.296317951,33.333336,25,-11.8029175,26.657475,18.922174,21.239685,23.338806,-4.1695175,4.335916,-11.257988,-17.350185,159.88734,-2.4937093,6.365967,-3.0058503,30.882215,-36.11358,68.331696,66.69829,28.559017,-4.8221884,32.15935,8.290839,-0.1490891,-9.40299,-25.602573,7.5446844,53.076996,1.6553044,-2.8207958,-1.2668431,-11.992067,10.039652,-2.2485495,-6.2122464,-0.9040415,24.864674,-12.732792,-2.506405,3.394723,-0.5070865,1.9824982,11.306917,97.50313,11.128116,20.86376,4.166138,3.9601803,4.5295835,-7.3353233,-0.54171085,1.0782957,8.733988,-2.6808977,-9.57275,11.425484,2.5844455,6.608057,10.230184,11.200655,1.8000484,10.872865,-0.8913219,-3.6640525,5.097902,-7.8279853,-5.733734,-5.228668,-10.321158,-12.784129,4.4195533,2.064197732,2.090686285,2.054150816,1.973753235,1.845054228,1.715151013,1.631033571,1.565827433,1.564458197,1.576624762,1.45142,1.321602685,1.271063262,1.16503249,1.003126214,0.796011436,0.623895867,0.64465567,0.98538998,1.627073434,2.359553344,3.020994153,3.392805479,3.488014103,3.475587307,3.419645185,3.473991014,3.558160175,3.588646546,3.653182285,3.693985465,3.719402322,3.730729068,3.705593658,3.680255508,3.617599613,3.462252065,3.373399519,3.368076891,3.334052158,3.311611312,3.233476445,3.144324002,3.190557308,3.304458803,3.363182535,3.383234687,3.334342296,3.28510675,3.314610291,3.367905445,3.428770002,3.517735089,3.61609569,3.665455321,3.693265351,3.731330947,3.749948099,3.759875422,3.790428314,3.804507425,3.795132744,3.764838183,3.707367266,3.633332224,3.602368097,3.571972268,3.487752745,3.425560693,3.302984814,3.21150132
Anguilla,0.351280054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,15.384615,0,6.666672,6.25,0,5.8823586,0,16.666662,9.523809,0,4.347825,16.666662,7.1428537,10.000002,3.0303001,0,0,5.8823586,-5.555558,-2.9411793,-3.0303001,3.125,15.151512,0,-7.8947306,2.8571367,11.111116,-2.4999976,-3.6376119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.333881154,2.917319883,2.419586286,2.433556787,2.483060477,2.601535871,2.601613,2.722892976,2.85768537,3.005353517,2.722319796,2.015108955,1.665754549,1.773037715,1.649586777,1.606556311,1.553948084,1.553808091,1.548655401,1.551015418,1.16468039,0.763052209,1.781733906,3.060188542,2.828595553,1.835226495,1.206810821,0.92552019,1.236744468,1.235931692,0.969228597
Antigua and Barbuda,0.050924907,,,,,,,,33.333336,0,25,29.999996,115.38463,-17.85714,8.69565,64,131.7073,62.105263,75.32468,27.037037,-63.265305,-7.936507,-12.068963,-11.764706,29.999996,64.95726,-43.00518,15.454542,5.5118084,-17.164177,-64.86486,-25.641024,175.86208,-71.25,73.91304,70.00001,0,10.294115,3.9999962,0,-15.384615,3.0303001,0,2.9411793,4.285705,1.3698578,6.7567587,7.594931,3.5294175,6.818187,3.191495,4.1237116,9.900988,5.405402,5.128205,6.5040708,7.633579,3.5461068,0.6849289,3.401363,-1.3157904,-0.66666603,2.013421,0,1.9736886,2.5806427,2.5157213,1.2269974,1.8181801,4.1666627,-3.4285724,-3.6373436,,,,,,,,2.024574359,2.005822739,1.927750608,1.613116877,1.286229522,1.249159838,1.354510208,1.424201674,1.388402273,1.414448721,1.507300989,1.612282174,1.160470796,0.325930005,-0.160839942,-0.346171181,-0.34063791,-0.13903819,0.154701973,0.464998037,0.623640691,0.69935635,0.675216458,0.468162736,0.332218645,0.349808275,-0.022039012,-0.487138488,-0.572514321,-0.62256614,-0.676672024,-0.657120876,-0.591704615,0.424288078,1.576824937,1.812071006,1.916204044,1.996964711,2.057757965,2.04490075,1.926331009,1.71295503,1.649309152,1.537780217,1.292668634,1.14514706,1.14445701,1.213104002,1.327656014,1.447983624,1.579702376,1.625257459,1.447801491,1.241104078,1.098782772,0.937498553,0.787947048,0.751516917,0.655552544,0.554331189,0.515118781,0.48072653,0.509585106,0.527448657
Argentina,0.191111933,16.850006,3.2383084,-2.6607037,4.5983434,7.645178,11.973583,7.4746847,-7.173753,10.762655,-0.37651658,4.844117,4.916048,-6.7253113,11.2674,5.6310534,7.2575927,3.8103938,5.396223,11.939931,6.9892645,7.5006366,1.3725996,4.34041,1.6009092,-0.6649494,5.117464,1.0097504,1.8367529,7.859695,-1.771909,-6.1548176,1.3558984,1.7328382,1.245606,-5.561656,3.5997272,10.299719,5.6821585,-3.6113203,-4.2226257,4.8418045,3.169918,-2.848369,0.58749914,5.7148576,4.7070146,4.109442,1.8174529,6.236148,-3.3237755,-5.8438244,-7.4151754,7.6647997,16.954958,2.8566718,8.077919,-0.41780472,7.9324603,-4.877341,4.347503,2.0563245,0.8519888,-0.9171128,-0.6021023,1.7767429,-0.9509504,-1.5909672,-3.370577,-1.1559844,-6.516123,13.701224,1.917369966,1.877568325,1.827734709,1.780497802,1.723693264,1.690893532,1.681085619,1.657481287,1.620855477,1.582441375,1.598923475,1.627569382,1.63653463,1.622641983,1.601065597,1.597566179,1.587517492,1.568400861,1.559234254,1.586093568,1.602723299,1.613430565,1.657213784,1.70942163,1.65945339,1.570734638,1.562528831,1.557777009,1.539751759,1.51705616,1.508629985,1.496089165,1.482652939,1.469658932,1.457541247,1.468449337,1.481311988,1.494128077,1.491493943,1.475200551,1.456463538,1.431955014,1.41121949,1.405514422,1.373411849,1.304885945,1.230174189,1.177871064,1.160189785,1.135881297,1.096951288,1.065531507,1.02563366,1.008215279,1.02966504,1.042641931,1.022007385,1.014197896,1.039987093,1.042849748,1.040256871,1.047859446,1.040736764,1.02352671,0.994097078,0.922458632,0.84639486,0.762190867,0.680482002,0.586828299,0.488736469
Armenia,0.235761336,8.262587,7.06445,5.7618737,9.116257,13.37825,9.750927,9.463751,6.795907,5.1359653,4.1369677,3.243351,5.111766,7.384002,6.4639926,6.130171,5.6473374,4.6822786,2.9252172,4.228866,5.152142,6.3127637,5.340898,4.3704033,3.960371,5.2329183,3.8782,3.4429908,3.503859,0.82484484,3.9147735,-1.7386198,1.9036055,1.4969468,0.94634295,7.758522,-5.5094123,1.554811,13.440132,1.853931,-5.441761,-18.32621,-21.676868,-56.142914,6.949711,25.253904,-25.645565,30.094206,5.11359,-11.081589,14.841211,1.182735,-12.905365,12.310446,6.8190694,18.556904,0.58089495,15.87199,9.305107,-21.731007,-2.5343478,16.83917,15.685105,-3.7097871,1.2485862,-2.4051964,-4.869157,6.4797044,5.1556826,7.8671575,8.193874,3.8993955,3.121936798,3.103460769,3.120558196,3.192677454,3.275057989,3.369500434,3.428237137,3.375575756,3.307705493,3.223073224,3.082834902,2.952358018,2.814637404,2.693233356,2.633730104,2.593678779,2.567087739,2.606580982,2.611341883,2.522886731,2.445608742,2.443862063,2.484789537,2.549696774,2.618644259,2.672001977,2.746804472,2.761783332,2.162035737,1.373878709,1.128875483,1.097800942,1.089153033,0.936987655,0.73499302,0.643497819,0.581237648,0.337840854,2.342216951,3.038331949,1.558579909,-1.395046178,-3.525951253,-2.661312652,-1.743725102,-0.896465671,-0.964754101,-1.000402551,-1.031120726,-1.094232899,-1.025818687,-0.775390003,-0.518468129,-0.416888057,-0.393629938,-0.443253617,-0.480892111,-0.441699219,-0.422733293,-0.465465857,-0.524804632,-0.520678834,-0.529150577,-0.540179401,-0.60504165,-0.709655813,-0.789050037,-0.834306601,-0.837569693,-0.756250756,-0.710671762
Aruba,0.066355306,57.713654,-42.260223,15.734482,102.27399,-17.283327,29.331768,-31.698746,-12.403858,28.72299,-14.01363,4.36368,9.819328,-4.2110624,-2.7703345,-10.281777,-6.4895096,23.181952,-7.01229,30.87343,11.844337,-12.9678135,-3.0356765,10.931337,-9.360284,-27.581697,113.615105,-47.769184,-14.836205,4.9018145,2.9117346,-4.7503114,11.807752,-48.60602,149.71272,17.045725,-80.8297,148.9796,36.88525,5.9880257,-24.858755,9.022558,1.3793111,20.408165,1.6949177,7.2222233,2.5906682,4.54545,6.2801957,0.45454502,193.66515,1.2326598,1.2176514,5.112779,2.1459222,3.9215684,-0.13477206,3.913629,-5.844158,-1.1034489,-4.6025095,-0.29239655,-46.041054,-36.141308,1.2766004,2.9411793,-1.6326547,0.82987547,-2.057612,2.1008372,0,-3.6373258,3.684086936,3.740909434,3.603586121,3.498379816,3.416324702,3.369965613,3.29988446,3.191602684,3.076214525,2.871548749,2.121907658,1.482375027,1.341855113,1.182908786,1.012638604,0.84796311,0.410559011,-0.087838652,-0.247543527,-0.388826677,-0.461126898,0.193462029,1.062160573,1.337758102,1.363580775,1.042609238,0.675628613,0.58313072,0.518827136,0.443484268,0.489214888,0.720241996,0.855481621,0.719831435,0.401991657,0.033941344,-0.273323615,-0.310300724,0.203508306,1.455408981,2.95485347,3.307529271,3.141430112,3.341002726,3.288100924,3.2439521,3.171338138,3.064634709,2.943281619,2.542492319,1.726270651,1.138523342,0.953377566,0.871153142,0.971419326,1.151543367,1.170544577,1.171813009,1.165560642,1.14324226,1.019740742,0.863968468,0.742826995,0.62046499,0.511754928,0.427244411,0.349359703,0.313758894,0.286485518,0.029906687,-0.077656483
