Country,Correlation,Population Growth %_1951,Population Growth %_1952,Population Growth %_1953,Population Growth %_1954,Population Growth %_1955,Population Growth %_1956,Population Growth %_1957,Population Growth %_1958,Population Growth %_1959,Population Growth %_1960,Population Growth %_1961,Population Growth %_1962,Population Growth %_1963,Population Growth %_1964,Population Growth %_1965,Population Growth %_1966,Population Growth %_1967,Population Growth %_1968,Population Growth %_1969,Population Growth %_1970,Population Growth %_1971,Population Growth %_1972,Population Growth %_1973,Population Growth %_1974,Population Growth %_1975,Population Growth %_1976,Population Growth %_1977,Population Growth %_1978,Population Growth %_1979,Population Growth %_1980,Population Growth %_1981,Population Growth %_1982,Population Growth %_1983,Population Growth %_1984,Population Growth %_1985,Population Growth %_1986,Population Growth %_1987,Population Growth %_1988,Population Growth %_1989,Population Growth %_1990,Population Growth %_1991,Population Growth %_1992,Population Growth %_1993,Population Growth %_1994,Population Growth %_1995,Population Growth %_1996,Population Growth %_1997,Population Growth %_1998,Population Growth %_1999,Population Growth %_2000,Population Growth %_2001,Population Growth %_2002,Population Growth %_2003,Population Growth %_2004,Population Growth %_2005,Population Growth %_2006,Population Growth %_2007,Population Growth %_2008,Population Growth %_2009,Population Growth %_2010,Population Growth %_2011,Population Growth %_2012,Population Growth %_2013,Population Growth %_2014,Population Growth %_2015,Population Growth %_2016,Population Growth %_2017,Population Growth %_2018,Population Growth %_2019,Population Growth %_2020,Population Growth %_2021,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,0.082488712,1.158002773,1.217503832,1.243150874,1.274638329,1.378483801,1.474597954,1.531910067,1.518499444,1.625777857,1.838849869,1.964984345,2.055991874,2.115896369,2.171327423,2.234538476,2.254177528,2.284322736,2.32501994,2.3457548,2.401438038,2.383250868,2.400383872,2.506470334,2.505397385,2.398148726,2.188105163,2.093503958,1.967625507,0.348602238,-3.866990316,-10.67885194,-9.581356066,-1.371217087,2.922340359,2.609258754,-0.595185498,-1.169435257,0.626832106,2.83238711,0.237678477,0.492050969,12.22175661,16.14340582,10.35908931,6.21274603,4.150675949,3.930798266,3.883697987,4.072515333,1.36334471,0.654763418,6.577520211,7.764253018,3.95703941,3.638579517,4.246283227,1.680679112,1.941082058,3.667597707,2.958685667,3.878761655,4.308158409,3.661055674,3.893120727,3.282796633,2.689697965,2.984575704,2.982430823,3.003898558,3.246807829,2.938011479,13.96775,14.17541667,14.65075,13.69133333,14.64258333,14.19108333,12.77716667,14.71675,14.15258333,13.98541667,14.06491667,13.76866667,15.03341667,13.08491667,14.10183333,14.343,13.66325,13.76233333,13.80508333,14.78308333,14.8235,12.54716667,14.2355,13.31675,13.54808333,13.70858333,14.80541667,14.32966667,14.26208333,14.88733333,14.86008333,13.73308333,14.61483333,14.24583333,14.88875,14.22316667,14.984,15.389,14.12575,14.99333333,14.37075,14.05608333,14.43925,14.75475,14.85916667,14.426,14.904,15.1325,15.38875,15.49783333,15.77808333,15.53766667,14.916,15.77091667,14.98,15.59558333,15.10616667,15.2165,15.25775,15.82866667,15.518,14.48158333,16.533625,16.989625,18.082625,19.637625,21.177625,22.721625,23.631625,24.129625,25.456625
Albania,-0.378828173,2.983179745,2.99636787,3.066199757,3.168339018,3.241606806,3.27493619,3.289920717,3.311274933,3.332060663,3.313230044,3.264570024,3.199624472,3.125682383,3.052424864,2.971898513,2.910206676,2.899518402,2.928165257,2.952800605,2.935361303,2.893101406,2.853386388,2.796368054,2.728840301,2.657277442,2.558393944,2.421404476,2.260301641,2.090720326,1.937134876,1.803912993,1.69340579,1.580584208,1.439899581,1.275837186,1.095252376,0.913399421,0.729088551,0.522286465,0.318155089,0.128503975,-0.051484349,-0.206372083,-0.322490657,-0.406309269,-0.497394647,-0.627702133,-0.738452455,-0.797688199,-0.854227059,-0.911410857,-0.95328705,-0.96013681,-0.945586537,-0.926540926,-0.899986244,-0.834926854,-0.739163734,-0.63076297,-0.49610946,-0.357557153,-0.231310886,-0.145269536,-0.104947265,-0.103018052,-0.142618394,-0.173660371,-0.214602244,-0.288136687,-0.417313257,-0.570983399,13.56983333,13.57391667,12.58633333,12.45008333,13.14808333,12.17233333,13.07841667,13.1945,12.40558333,13.33508333,13.31675,13.06875,13.08583333,12.51533333,12.37841667,13.20458333,12.62175,12.86958333,12.80291667,12.83966667,12.53441667,12.60825,12.48666667,12.55983333,12.56841667,12.03625,13.22325,12.26358333,12.98916667,12.16208333,12.57866667,13.01525,12.51091667,12.64075,12.94816667,13.05641667,12.99658333,13.04408333,12.80383333,13.46866667,12.33883333,13.08466667,13.12258333,14.09966667,12.78208333,12.7365,12.90091667,13.31125,13.65375,13.74658333,13.69041667,13.55991667,13.62658333,13.25816667,12.74708333,12.97691667,13.8905,13.95516667,13.84425,13.77541667,13.44325,13.76825,14.993875,16.191875,17.760875,19.224875,20.345875,22.373875,24.048875,25.546875,27.082875
Algeria,-0.359226531,2.942524824,2.802784033,2.648603091,2.434827185,2.205418416,2.099214875,2.036994318,1.990022432,1.938596791,1.882953309,1.643454173,1.454628886,1.555549183,1.695191642,1.600157988,1.785056602,2.174603046,2.250942093,2.284852252,2.315688691,2.373246365,2.441703118,2.506404803,2.584606213,3.828994445,4.896727912,3.787915957,2.909573711,3.056516618,3.193239348,3.332865627,3.43445771,3.485243515,3.503380527,3.502014328,3.413778122,3.067512045,2.752397869,2.632009529,2.49427319,2.384719836,2.338385797,2.284253216,2.160006978,1.978174716,1.826671184,1.775219227,1.648958134,1.542366137,1.56749154,1.566009642,1.5389803,1.546298272,1.5973893,1.52463717,1.57604904,1.74675753,1.799695306,1.852936859,1.87715286,1.87471176,1.87833182,1.855189505,1.819200596,1.81403197,1.786726931,1.729371092,1.678002174,1.625548385,1.540022901,1.494277957,23.32166667,23.18541667,22.86941667,22.65241667,24.00483333,22.61133333,22.62025,23.54491667,23.33366667,23.50408333,23.39033333,23.18241667,23.31783333,23.1475,22.97375,23.30133333,22.86166667,23.18591667,23.45825,23.32283333,22.67225,22.69816667,22.88616667,22.541,22.71641667,22.35675,23.54608333,23.16183333,23.39683333,23.16016667,23.57925,23.09416667,23.683,23.06308333,23.52625,23.25666667,24.24775,23.81566667,23.72433333,24.01441667,23.01108333,22.767,23.45083333,23.64208333,23.7225,23.73433333,23.95516667,23.92058333,24.29941667,24.03225,24.72441667,24.263,24.39366667,23.916,24.22258333,24.20083333,24.06533333,23.95025,24.15433333,25.21566667,24.14416667,23.95483333,25.1215,26.8115,27.9325,29.6895,31.2015,32.4115,33.5265,35.4525,37.7825
Andorra,0.056116532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.47087397,3.429645719,3.30639184,3.128138901,2.97693587,1.774224682,0.649270598,0.585410588,0.532358332,0.487610955,2.585396912,4.58222486,4.377135416,4.069099902,3.6856301,0.408485865,-2.58487389,-2.68954985,-2.868153101,-3.132400788,-1.372934315,0.564116078,0.409771156,0.235452694,0.055506121,1.05860654,1.796512237,1.554386862,1.722193635,1.764341836,1.667384987,10.97291667,11.66083333,11.471,10.902,11.7275,10.36325,11.14408333,11.50183333,11.72041667,11.214,12.2615,11.07933333,10.63616667,11.54108333,11.02591667,11.58475,11.60691667,11.4365,10.88483333,11.37658333,11.19216667,10.741,11.17658333,11.07733333,11.24775,11.3045,11.13433333,11.04075,11.30175,10.7725,11.546,12.18516667,11.99175,11.03275,11.32541667,11.6235,11.68025,11.97391667,12.58508333,12.45558333,11.56541667,11.49841667,11.43216667,12.63225,12.37641667,11.74141667,12.89616667,12.11875,12.17866667,12.31191667,12.21608333,12.31958333,12.90066667,12.043,11.64341667,12.83433333,12.15525,11.97858333,12.56666667,11.48083333,12.99441667,12.33991667,12.307875,14.253875,15.943875,17.933875,19.858875,21.777875,23.741875,26.303875,27.836875
Angola,0.233389007,2.064197732,2.090686285,2.054150816,1.973753235,1.845054228,1.715151013,1.631033571,1.565827433,1.564458197,1.576624762,1.45142,1.321602685,1.271063262,1.16503249,1.003126214,0.796011436,0.623895867,0.64465567,0.98538998,1.627073434,2.359553344,3.020994153,3.392805479,3.488014103,3.475587307,3.419645185,3.473991014,3.558160175,3.588646546,3.653182285,3.693985465,3.719402322,3.730729068,3.705593658,3.680255508,3.617599613,3.462252065,3.373399519,3.368076891,3.334052158,3.311611312,3.233476445,3.144324002,3.190557308,3.304458803,3.363182535,3.383234687,3.334342296,3.28510675,3.314610291,3.367905445,3.428770002,3.517735089,3.61609569,3.665455321,3.693265351,3.731330947,3.749948099,3.759875422,3.790428314,3.804507425,3.795132744,3.764838183,3.707367266,3.633332224,3.602368097,3.571972268,3.487752745,3.425560693,3.302984814,3.21150132,22.00216667,22.18766667,21.72483333,21.567,21.57825,21.52191667,21.9915,22.02025,22.08166667,21.92708333,21.93875,21.84866667,21.83775,21.68641667,21.81991667,22.10325,21.77641667,21.74816667,22.1905,22.14983333,21.837,22.011,22.34966667,21.6235,21.73891667,21.44741667,21.95075,21.817,22.14475,22.07758333,22.02791667,21.82,22.36725,22.35616667,22.02183333,22.03625,22.74991667,22.41233333,22.12216667,22.46641667,22.09541667,22.49858333,22.291,22.18941667,22.93616667,22.47925,22.31716667,23.12016667,22.38208333,22.36066667,22.50291667,22.9255,23.06658333,22.57283333,22.96608333,21.94708333,22.42708333,22.28733333,22.3165,22.6815,22.02966667,22.12333333,22.507875,23.335875,24.666875,26.275875,27.145875,28.540875,30.292875,31.454875,33.007875
Anguilla,-0.527095809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.333881154,2.917319883,2.419586286,2.433556787,2.483060477,2.601535871,2.601613,2.722892976,2.85768537,3.005353517,2.722319796,2.015108955,1.665754549,1.773037715,1.649586777,1.606556311,1.553948084,1.553808091,1.548655401,1.551015418,1.16468039,0.763052209,1.781733906,3.060188542,2.828595553,1.835226495,1.206810821,0.92552019,1.236744468,1.235931692,0.969228597,26.69525,26.86691667,27.03725,26.66066667,26.725,26.62683333,26.88716667,27.2545,27.09025,27.14016667,26.93583333,26.84691667,27.04933333,26.88241667,26.557,26.69166667,26.484,26.60858333,27.04925,26.91616667,26.55341667,26.67075,27.01233333,26.49183333,26.48975,26.4545,27.04833333,27.04058333,26.80633333,27.25208333,27.18325,26.83116667,27.26366667,26.85933333,26.842,26.88441667,27.37958333,27.13791667,26.84658333,27.09875,27.09733333,27.05033333,27.16341667,27.16925,27.55033333,27.05683333,27.39358333,27.74083333,27.34458333,27.05275,27.4085,27.53825,27.67741667,27.334,27.73233333,27.63625,27.68508333,27.14041667,27.46858333,27.856,27.52833333,27.63925,27.363,28.177,29.228,30.353,31.313,31.977,32.82,34.044,34.937
Argentina,-0.720696358,1.917369966,1.877568325,1.827734709,1.780497802,1.723693264,1.690893532,1.681085619,1.657481287,1.620855477,1.582441375,1.598923475,1.627569382,1.63653463,1.622641983,1.601065597,1.597566179,1.587517492,1.568400861,1.559234254,1.586093568,1.602723299,1.613430565,1.657213784,1.70942163,1.65945339,1.570734638,1.562528831,1.557777009,1.539751759,1.51705616,1.508629985,1.496089165,1.482652939,1.469658932,1.457541247,1.468449337,1.481311988,1.494128077,1.491493943,1.475200551,1.456463538,1.431955014,1.41121949,1.405514422,1.373411849,1.304885945,1.230174189,1.177871064,1.160189785,1.135881297,1.096951288,1.065531507,1.02563366,1.008215279,1.02966504,1.042641931,1.022007385,1.014197896,1.039987093,1.042849748,1.040256871,1.047859446,1.040736764,1.02352671,0.994097078,0.922458632,0.84639486,0.762190867,0.680482002,0.586828299,0.488736469,14.83691667,14.91633333,14.97475,14.49141667,14.19116667,14.02141667,14.65625,14.94341667,14.35425,14.99366667,14.97291667,14.85241667,14.84716667,14.43125,14.90958333,14.678,15.04975,15.19691667,15.26283333,15.19533333,14.65116667,14.81841667,14.59791667,14.63766667,14.93966667,14.44025,15.35125,15.18608333,14.97466667,15.22691667,15.16741667,15.25675,14.95433333,14.40083333,15.32625,15.33475,15.1875,14.83633333,15.543,15.15508333,15.09758333,14.73916667,15.09866667,15.57866667,15.14983333,15.21158333,15.62066667,15.26175,15.06491667,14.7505,15.37041667,15.18375,15.51833333,15.44216667,15.11283333,15.56108333,14.62808333,15.476,15.53441667,15.07883333,15.33966667,15.689,14.457125,15.408125,16.365125,16.853125,17.948125,18.826125,19.586125,20.709125,21.740125
Armenia,-0.373153652,3.121936798,3.103460769,3.120558196,3.192677454,3.275057989,3.369500434,3.428237137,3.375575756,3.307705493,3.223073224,3.082834902,2.952358018,2.814637404,2.693233356,2.633730104,2.593678779,2.567087739,2.606580982,2.611341883,2.522886731,2.445608742,2.443862063,2.484789537,2.549696774,2.618644259,2.672001977,2.746804472,2.761783332,2.162035737,1.373878709,1.128875483,1.097800942,1.089153033,0.936987655,0.73499302,0.643497819,0.581237648,0.337840854,2.342216951,3.038331949,1.558579909,-1.395046178,-3.525951253,-2.661312652,-1.743725102,-0.896465671,-0.964754101,-1.000402551,-1.031120726,-1.094232899,-1.025818687,-0.775390003,-0.518468129,-0.416888057,-0.393629938,-0.443253617,-0.480892111,-0.441699219,-0.422733293,-0.465465857,-0.524804632,-0.520678834,-0.529150577,-0.540179401,-0.60504165,-0.709655813,-0.789050037,-0.834306601,-0.837569693,-0.756250756,-0.710671762,8.741583333,9.21,8.36875,8.936916667,9.968166667,7.765333333,8.972333333,8.97025,7.9675,9.27325,9.482,9.982083333,9.273,8.057666667,8.496083333,10.841,8.087083333,8.906583333,8.230833333,9.846583333,9.105416667,7.789166667,8.207166667,8.314333333,8.993,8.345083333,8.692083333,9.047666667,10.14641667,9.358583333,9.805416667,8.274333333,9.000583333,9.06775,9.17475,9.306833333,8.996666667,8.626083333,9.785833333,9.258083333,9.372583333,7.614666667,7.769666667,9.02125,9.892166667,9.819166667,9.246333333,10.44841667,10.331,9.918166667,10.44341667,9.605,9.423083333,9.720166667,9.735416667,10.0535,9.53525,9.70675,9.842083333,11.5095,9.136,10.35075,11.34375,12.62675,14.55775,15.91375,16.80275,19.57475,21.43375,23.38775,25.47475
Aruba,-0.298745282,3.684086936,3.740909434,3.603586121,3.498379816,3.416324702,3.369965613,3.29988446,3.191602684,3.076214525,2.871548749,2.121907658,1.482375027,1.341855113,1.182908786,1.012638604,0.84796311,0.410559011,-0.087838652,-0.247543527,-0.388826677,-0.461126898,0.193462029,1.062160573,1.337758102,1.363580775,1.042609238,0.675628613,0.58313072,0.518827136,0.443484268,0.489214888,0.720241996,0.855481621,0.719831435,0.401991657,0.033941344,-0.273323615,-0.310300724,0.203508306,1.455408981,2.95485347,3.307529271,3.141430112,3.341002726,3.288100924,3.2439521,3.171338138,3.064634709,2.943281619,2.542492319,1.726270651,1.138523342,0.953377566,0.871153142,0.971419326,1.151543367,1.170544577,1.171813009,1.165560642,1.14324226,1.019740742,0.863968468,0.742826995,0.62046499,0.511754928,0.427244411,0.349359703,0.313758894,0.286485518,0.029906687,-0.077656483,28.18166667,28.50583333,28.45141667,28.05766667,27.68975,27.85525,28.03825,28.83691667,28.187,28.25358333,28.07283333,28.286,28.31725,28.07641667,28.04675,28.24116667,27.95475,28.11433333,28.631,28.36933333,27.89,28.35233333,28.33183333,27.70025,27.94325,27.81008333,28.45441667,28.39158333,28.43233333,28.62691667,28.44825,28.2465,28.687,28.19816667,27.88566667,27.98933333,28.85941667,28.34991667,28.13458333,28.24333333,28.34308333,28.49875,28.58916667,28.48225,28.73641667,28.47958333,28.76333333,28.9825,28.19791667,28.128,28.63091667,28.84925,28.84966667,28.506,28.77225,28.80466667,28.82283333,28.45025,28.832,28.96833333,28.51333333,28.65233333,28.54125,29.52725,30.67625,30.67625,31.97925,32.67725,33.68425,34.96525,34.96525
Australia,-0.283283747,2.80461803,2.323353047,1.949744095,1.907994431,2.139200158,2.272961628,2.188533511,2.103521331,2.14101451,2.211469472,2.168141039,2.02680569,1.978407508,2.023262298,2.124021563,2.110224833,1.917266945,1.919345039,2.079327108,2.729998294,3.21284877,2.37822826,1.611550149,1.480772131,1.245099938,1.062290383,1.094820437,1.154713716,1.1700644,1.302034215,1.546359464,1.623102109,1.433431917,1.287357859,1.329136307,1.438310958,1.544366747,1.643805647,1.648816679,1.500567186,1.288474216,1.068660257,0.912996437,0.921112016,1.034158913,1.076022573,1.006040723,0.967652999,1.020548351,1.12880345,1.204217161,1.192538579,1.163495522,1.166016209,1.25673426,1.490601975,1.821722863,2.055146391,1.968713342,1.623152169,1.466024683,1.59516727,1.619774246,1.477168963,1.414172741,1.501303067,1.560053044,1.504984374,1.419839049,1.11448445,0.85373426,21.557,21.487,21.47458333,21.55866667,21.56308333,21.006,21.90266667,21.99725,22.09816667,21.2105,21.96425,21.80291667,21.69783333,21.65075,22.09208333,21.361,21.62541667,21.46216667,21.84758333,21.77575,21.65433333,22.01208333,22.41275,21.23808333,21.69266667,21.19341667,21.8925,21.60516667,22.25233333,22.58616667,22.16408333,21.9105,22.26108333,21.51691667,22.04341667,22.09325,22.07241667,22.63008333,21.86283333,22.35575,22.48741667,21.93258333,22.16016667,22.03025,21.95516667,22.32533333,22.086,22.66483333,22.0645,21.70966667,21.79275,22.46083333,22.44033333,22.28691667,22.89683333,22.26441667,22.48675,22.22591667,22.69058333,22.07816667,21.767,22.0245,22.142875,23.340875,24.427875,25.599875,26.740875,27.869875,29.291875,30.707875,31.336875
