,x,y,z,radian
0,6.2882096069869,0.0,1880.0,0.0
145,5.218843044639849,3.0131004366812224,1880.0,0.5235987755982988
290,3.340611353711792,5.786108592970268,1880.0,1.0471975511965976
435,3.9038959099457107e-16,6.375545851528384,1880.0,1.5707963267948966
580,-3.3187772925764176,5.748290889748239,1880.0,2.0943951023931953
725,-5.332296154305934,3.078602620087336,1880.0,2.6179938779914944
870,-6.2882096069869,7.700835767564143e-16,1880.0,3.141592653589793
1015,-5.7482908897482385,-3.31877729257642,1880.0,3.6651914291880923
1160,-3.231441048034937,-5.597020076860127,1880.0,4.1887902047863905
1305,-1.1150168455118915e-15,-6.069868995633189,1880.0,4.71238898038469
1450,3.0567685589519664,-5.294478451083905,1880.0,5.235987755982989
1595,5.483566967194043,-3.165938864628824,1880.0,5.759586531581287
1,6.2008733624454155,0.0,1881.0,0.0
146,5.597020076860128,3.231441048034934,1881.0,0.5235987755982988
291,3.6026200873362453,6.2399210316346005,1881.0,1.0471975511965976
436,4.46541518466393e-16,7.292576419213975,1881.0,1.5707963267948966
581,-3.6681222707423564,6.353374141300686,1881.0,2.0943951023931953
726,-5.407931560749989,3.1222707423580784,1881.0,2.6179938779914944
871,-7.074235807860263,8.663440238509662e-16,1881.0,3.141592653589793
1016,-5.975197109080407,-3.4497816593886474,1881.0,3.6651914291880923
1161,-3.2096069868995665,-5.559202373638099,1881.0,4.1887902047863905
1306,-1.1230385494364374e-15,-6.113537117903931,1881.0,4.71238898038469
1451,3.1222707423580798,-5.407931560749988,1881.0,5.235987755982989
1596,5.861743999414321,-3.384279475982536,1881.0,5.759586531581287
2,7.772925764192141,0.0,1882.0,0.0
147,6.655915767076909,3.842794759825327,1882.0,0.5235987755982988
292,3.6462882096069884,6.315556438078658,1882.0,1.0471975511965976
437,3.8771568968638914e-16,6.331877729257642,1882.0,1.5707963267948966
582,-3.2096069868995625,5.559202373638101,1882.0,2.0943951023931953
727,-5.256660747861877,3.034934497816594,1882.0,2.6179938779914944
872,-6.375545851528384,7.807791819891421e-16,1882.0,3.141592653589793
1017,-5.861743999414323,-3.3842794759825336,1882.0,3.6651914291880923
1162,-3.231441048034937,-5.597020076860127,1882.0,4.1887902047863905
1307,-1.1150168455118915e-15,-6.069868995633189,1882.0,4.71238898038469
1452,3.1877729257641927,-5.5213846704160705,1882.0,5.235987755982989
1597,4.8028483091975405,-2.7729257641921423,1882.0,5.759586531581287
3,5.807860262008734,0.0,1883.0,0.0
148,4.727212902753487,2.729257641921397,1883.0,0.5235987755982988
293,3.2751091703056776,5.672655483304183,1883.0,1.0471975511965976
438,3.8504178837820716e-16,6.2882096069869,1883.0,1.5707963267948966
583,-3.16593886462882,5.483566967194045,1883.0,2.0943951023931953
728,-5.823926296192296,3.362445414847161,1883.0,2.6179938779914944
873,-6.812227074235809,8.342572081527822e-16,1883.0,3.141592653589793
1018,-5.597020076860127,-3.2314410480349354,1883.0,3.6651914291880923
1163,-3.0786026200873393,-5.332296154305932,1883.0,4.1887902047863905
1308,-1.2112772926064433e-15,-6.593886462882097,1883.0,4.71238898038469
1453,3.0349344978165953,-5.256660747861877,1883.0,5.235987755982989
1598,5.71047318652621,-3.2969432314410514,1883.0,5.759586531581287
4,6.506550218340612,0.0,1884.0,0.0
149,5.823926296192296,3.362445414847161,1884.0,0.5235987755982988
294,2.7510917030567694,4.7650306059755145,1884.0,1.0471975511965976
439,3.2621595959820335e-16,5.327510917030569,1884.0,1.5707963267948966
584,-2.79475982532751,4.840666012419571,1884.0,2.0943951023931953
729,-4.802848309197542,2.772925764192139,1884.0,2.6179938779914944
874,-5.764192139737991,7.059099453600464e-16,1884.0,3.141592653589793
1019,-5.067572231751737,-2.9257641921397384,1884.0,3.6651914291880923
1164,-2.9475982532751117,-5.105389934973764,1884.0,4.1887902047863905
1309,-1.0989734376627996e-15,-5.9825327510917035,1884.0,4.71238898038469
1454,2.816593886462883,-4.878483715641598,1884.0,5.235987755982989
1599,4.954119122085652,-2.8602620087336272,1884.0,5.759586531581287
5,4.541484716157205,0.0,1885.0,0.0
150,4.8784837156415986,2.816593886462882,1885.0,0.5235987755982988
295,2.969432314410481,5.143207638195793,1885.0,1.0471975511965976
440,3.208681569818393e-16,5.240174672489084,1885.0,1.5707963267948966
585,-2.5545851528384267,4.424671276977263,1885.0,2.0943951023931953
730,-4.50030668342132,2.5982532751091703,1885.0,2.6179938779914944
875,-5.589519650655022,6.845187348945905e-16,1885.0,3.141592653589793
1020,-4.954119122085653,-2.860262008733625,1885.0,3.6651914291880923
1165,-2.9257641921397406,-5.067572231751736,1885.0,4.1887902047863905
1310,-1.1150168455118915e-15,-6.069868995633189,1885.0,4.71238898038469
1455,3.0349344978165953,-5.256660747861877,1885.0,5.235987755982989
1600,5.748290889748237,-3.318777292576422,1885.0,5.759586531581287
6,5.196506550218341,0.0,1886.0,0.0
151,4.235582760867125,2.445414847161572,1886.0,0.5235987755982988
296,2.6200873362445423,4.5381243866433465,1886.0,1.0471975511965976
441,3.583027752963872e-16,5.851528384279476,1886.0,1.5707963267948966
586,-3.0131004366812215,5.218843044639849,1886.0,2.0943951023931953
731,-4.802848309197542,2.772925764192139,1886.0,2.6179938779914944
876,-6.2882096069869,7.700835767564143e-16,1886.0,3.141592653589793
1021,-4.954119122085653,-2.860262008733625,1886.0,3.6651914291880923
1166,-3.034934497816597,-5.2566607478618765,1886.0,4.1887902047863905
1311,-1.0829300298137074e-15,-5.895196506550218,1886.0,4.71238898038469
1456,2.9475982532751095,-5.105389934973765,1886.0,5.235987755982989
1601,5.218843044639847,-3.0131004366812255,1886.0,5.759586531581287
7,3.973799126637555,0.0,1887.0,0.0
152,3.97085883831293,2.292576419213974,1887.0,0.5235987755982988
297,2.77292576419214,4.802848309197541,1887.0,1.0471975511965976
442,3.4225936744729525e-16,5.589519650655022,1887.0,1.5707963267948966
587,-2.8820960698689944,4.991936825307682,1887.0,2.0943951023931953
732,-5.218843044639849,3.0131004366812224,1887.0,2.6179938779914944
877,-5.938864628820961,7.273011558255024e-16,1887.0,3.141592653589793
1022,-4.802848309197541,-2.77292576419214,1887.0,3.6651914291880923
1167,-2.9912663755458544,-5.18102534141782,1887.0,4.1887902047863905
1312,-1.0187563984173396e-15,-5.545851528384279,1887.0,4.71238898038469
1457,2.969432314410481,-5.143207638195793,1887.0,5.235987755982989
1602,4.916301418863624,-2.8384279475982557,1887.0,5.759586531581287
8,5.589519650655022,0.0,1888.0,0.0
153,4.765030605975515,2.7510917030567685,1888.0,0.5235987755982988
298,2.6419213973799134,4.575942089865375,1888.0,1.0471975511965976
443,3.796939857618432e-16,6.2008733624454155,1888.0,1.5707963267948966
588,-3.0786026200873353,5.332296154305934,1888.0,2.0943951023931953
733,-5.483566967194045,3.1659388646288207,1888.0,2.6179938779914944
878,-6.637554585152838,8.128659976873261e-16,1888.0,3.141592653589793
1023,-5.5592023736381,-3.2096069868995647,1888.0,3.6651914291880923
1168,-3.2969432314410514,-5.710473186526211,1888.0,4.1887902047863905
1313,-1.315559443625541e-15,-7.161572052401747,1888.0,4.71238898038469
1458,3.6026200873362453,-6.2399210316346005,1888.0,5.235987755982989
