year,methane,nitrous_oxide,total_co2
1990,2738.66,758.12,19768.44
1991,2763.91,770.57,21525.960000000006
1992,2763.0,790.43,21740.801
1993,2811.78,788.66,22643.216
1994,2828.77,813.52,23518.34
1995,2901.2,867.02,24511.761000000002
1996,2892.37,896.77,25441.347
1997,3114.58,892.59,25691.972999999998
1998,2963.73,909.81,24766.797
1999,2952.22,918.17,26251.937
2000,2985.48,914.89,27319.042000000005
2001,2969.62,918.93,27728.399
2002,3085.51,947.89,29210.0
2003,3082.83,971.65,32027.125999999997
2004,3263.33,1018.84,33906.678
2005,3270.8,1031.96,36220.831999999995
2006,3447.3,1065.48,38641.23999999999
2007,3387.65,1088.04,40763.575000000004
2008,3432.91,1098.17,42941.87
2009,3540.18,1143.03,44600.60399999999
2010,3541.13,1164.94,47906.191999999995
2011,3688.21,1176.03,51571.412000000004
2012,3702.91,1200.38,53776.251
2013,3741.63,1217.92,54451.478
2014,3858.14,1243.24,55419.311
2015,3878.78,1266.21,56029.777999999984
2016,3773.08,1274.05,56380.617000000006
2017,3806.88,1294.55,57950.642
2018,3919.71,1298.16,59939.15
2019,3998.1,1308.97,61270.687
2020,3891.22,1332.37,60174.096000000005
1990,146.25,78.77,799.6440000000002
1991,146.66,77.78,803.0049999999999
1992,144.88,76.89,815.594
1993,143.46,76.61,825.2009999999999
1994,144.34,76.4,843.4150000000001
1995,143.46,76.19,871.7579999999999
1996,139.43,71.89,891.9019999999998
1997,142.61,71.8,916.312
1998,145.14,75.57,963.847
1999,161.77,93.12,984.5329999999999
2000,168.15,99.53,990.9179999999999
2001,177.94,109.89,1015.1730000000001
2002,172.55,103.81,1043.257
2003,134.52,65.23,1073.663
2004,151.88,85.45,1110.2279999999998
2005,133.37,62.61,1116.403
2006,154.45,84.77,1140.9180000000001
2007,150.36,77.99,1166.677
2008,133.42,61.66,1171.3029999999999
2009,138.83,66.92,1209.3790000000001
2010,129.67,54.45,1206.007
2011,178.12,107.79,1202.553
2012,177.6,107.45,1214.858
2013,142.24,64.52,1179.2
2014,155.18,76.54,1166.107
2015,151.88,72.58,1184.487
2016,135.53,58.32,1191.8700000000001
2017,158.05,80.09,1204.49
2018,157.3,77.81,1195.5900000000001
2019,153.87,72.2,1193.82
2020,136.75,55.06,1146.8449999999998
1990,11.85,4.98,213.738
1991,11.85,5.01,222.619
1992,11.65,4.79,213.66
1993,11.33,4.73,210.473
1994,10.93,4.68,211.017
1995,10.45,4.67,221.09799999999998
1996,10.27,4.72,235.79199999999994
1997,9.95,4.73,229.68699999999998
1998,9.67,4.71,232.30399999999997
1999,9.54,4.7,228.195
2000,9.28,4.69,224.418
2001,9.17,4.54,236.93399999999997
2002,9.05,4.63,239.09799999999998
2003,8.9,4.46,255.78399999999996
2004,8.81,3.98,260.11400000000003
2005,8.63,3.97,264.966
2006,8.49,4.01,263.70000000000005
2007,8.33,4.01,253.817
2008,8.25,4.33,250.698
2009,8.07,3.83,229.92600000000002
2010,8.11,3.82,245.244
2011,7.92,3.98,242.978
2012,7.77,3.79,234.14
2013,7.63,3.88,230.461
2014,7.44,3.92,223.66200000000003
2015,7.39,4.02,221.82100000000003
2016,7.31,4.0,226.797
2017,7.27,3.92,231.094
2018,7.08,3.86,224.374
2019,6.96,3.78,225.06299999999996
2020,6.86,3.76,205.065
1990,20.55,21.66,278.428
1991,20.13,20.46,275.11300000000006
1992,18.01,16.33,232.30599999999998
1993,17.1,16.01,199.35600000000002
1994,16.26,15.3,166.043
1995,15.44,15.25,156.72299999999998
1996,15.19,15.29,171.581
1997,14.97,15.34,168.457
1998,14.91,15.27,191.58499999999998
1999,14.75,15.28,183.839
2000,14.34,15.06,151.901
2001,14.1,15.06,147.296
