country,year,methane,nitrous_oxide,total_co2
Asia,1990,2738.66,758.12,19768.44
Asia,1991,2763.91,770.57,21525.960000000006
Asia,1992,2763.0,790.43,21740.801
Asia,1993,2811.78,788.66,22643.216
Asia,1994,2828.77,813.52,23518.34
Asia,1995,2901.2,867.02,24511.761000000002
Asia,1996,2892.37,896.77,25441.347
Asia,1997,3114.58,892.59,25691.972999999998
Asia,1998,2963.73,909.81,24766.797
Asia,1999,2952.22,918.17,26251.937
Asia,2000,2985.48,914.89,27319.042000000005
Asia,2001,2969.62,918.93,27728.399
Asia,2002,3085.51,947.89,29210.0
Asia,2003,3082.83,971.65,32027.125999999997
Asia,2004,3263.33,1018.84,33906.678
Asia,2005,3270.8,1031.96,36220.831999999995
Asia,2006,3447.3,1065.48,38641.23999999999
Asia,2007,3387.65,1088.04,40763.575000000004
Asia,2008,3432.91,1098.17,42941.87
Asia,2009,3540.18,1143.03,44600.60399999999
Asia,2010,3541.13,1164.94,47906.191999999995
Asia,2011,3688.21,1176.03,51571.412000000004
Asia,2012,3702.91,1200.38,53776.251
Asia,2013,3741.63,1217.92,54451.478
Asia,2014,3858.14,1243.24,55419.311
Asia,2015,3878.78,1266.21,56029.777999999984
Asia,2016,3773.08,1274.05,56380.617000000006
Asia,2017,3806.88,1294.55,57950.642
Asia,2018,3919.71,1298.16,59939.15
Asia,2019,3998.1,1308.97,61270.687
Asia,2020,3891.22,1332.37,60174.096000000005
Australia,1990,146.25,78.77,799.6440000000002
Australia,1991,146.66,77.78,803.0049999999999
Australia,1992,144.88,76.89,815.594
Australia,1993,143.46,76.61,825.2009999999999
Australia,1994,144.34,76.4,843.4150000000001
Australia,1995,143.46,76.19,871.7579999999999
Australia,1996,139.43,71.89,891.9019999999998
Australia,1997,142.61,71.8,916.312
Australia,1998,145.14,75.57,963.847
Australia,1999,161.77,93.12,984.5329999999999
Australia,2000,168.15,99.53,990.9179999999999
Australia,2001,177.94,109.89,1015.1730000000001
Australia,2002,172.55,103.81,1043.257
Australia,2003,134.52,65.23,1073.663
Australia,2004,151.88,85.45,1110.2279999999998
Australia,2005,133.37,62.61,1116.403
