Entity,Code,Year,Annual CO₂ emissions,Country (or dependency),Population (2020),Density (P/Km²),Land Area (Km²)
China,CHN,2020.0,10914012000.0,China,1440297825,153,9388211
India,IND,2020.0,2421552000.0,India,1382345085,464,2973190
United States,USA,2020.0,4714628000.0,United States,331341050,36,9147420
Indonesia,IDN,2020.0,605984600.0,Indonesia,274021604,151,1811570
Pakistan,PAK,2020.0,200602800.0,Pakistan,221612785,287,770880
Brazil,BRA,2020.0,444504320.0,Brazil,212821986,25,8358140
Nigeria,NGA,2020.0,123822170.0,Nigeria,206984347,226,910770
Bangladesh,BGD,2020.0,93614960.0,Bangladesh,164972348,1265,130170
Russia,RUS,2020.0,1632929300.0,Russia,145945524,9,16376870
Mexico,MEX,2020.0,442289100.0,Mexico,129166028,66,1943950
Japan,JPN,2020.0,1039795900.0,Japan,126407422,347,364555
Ethiopia,ETH,2020.0,17810122.0,Ethiopia,115434444,115,1000000
Philippines,PHL,2020.0,132851040.0,Philippines,109830324,368,298170
Egypt,EGY,2020.0,227637950.0,Egypt,102659126,103,995450
Vietnam,VNM,2020.0,363342660.0,Vietnam,97490013,314,310070
Turkey,TUR,2020.0,412926880.0,Turkey,84495243,110,769630
Iran,IRN,2020.0,679007200.0,Iran,84176929,52,1628550
Germany,DEU,2020.0,647252300.0,Germany,83830972,240,348560
Thailand,THA,2020.0,271852000.0,Thailand,69830779,137,510890
United Kingdom,GBR,2020.0,326263200.0,United Kingdom,67948282,281,241930
France,FRA,2020.0,281539040.0,France,65298930,119,547557
Italy,ITA,2020.0,303281280.0,Italy,60446035,206,294140
Tanzania,TZA,2020.0,14168675.0,Tanzania,60012400,67,885800
South Africa,ZAF,2020.0,434828640.0,South Africa,59436725,49,1213090
Myanmar,MMR,2020.0,34609780.0,Myanmar,54473253,83,653290
Kenya,KEN,2020.0,21982360.0,Kenya,53968739,94,569140
South Korea,KOR,2020.0,597634300.0,South Korea,51276977,527,97230
Colombia,COL,2020.0,89731320.0,Colombia,50976248,46,1109500
Spain,ESP,2020.0,213625420.0,Spain,46757980,94,498800
Uganda,UGA,2020.0,5538408.0,Uganda,45974931,229,199810
Argentina,ARG,2020.0,166879580.0,Argentina,45267449,17,2736690
Algeria,DZA,2020.0,169892770.0,Algeria,43984569,18,2381740
Sudan,SDN,2020.0,20527464.0,Sudan,44019263,25,1765048
Ukraine,UKR,2020.0,206823860.0,Ukraine,43686577,75,579320
Iraq,IRQ,2020.0,159840260.0,Iraq,40372771,93,434320
Afghanistan,AFG,2020.0,11888066.0,Afghanistan,39074280,60,652860
Poland,POL,2020.0,302437100.0,Poland,37839255,124,306230
Canada,CAN,2020.0,522845280.0,Canada,37799407,4,9093510
Morocco,MAR,2020.0,64560784.0,Morocco,36985624,83,446300
Saudi Arabia,SAU,2020.0,610772900.0,Saudi Arabia,34905942,16,2149690
Uzbekistan,UZB,2020.0,109631970.0,Uzbekistan,33551824,79,425400
Peru,PER,2020.0,46965196.0,Peru,33050211,26,1280000
Angola,AGO,2020.0,16764786.0,Angola,33032075,26,1246700
Malaysia,MYS,2020.0,269248670.0,Malaysia,32436963,99,328550
Mozambique,MOZ,2020.0,6376114.0,Mozambique,31398811,40,786380
Ghana,GHA,2020.0,19168242.0,Ghana,31181428,137,227540
Yemen,YEM,2020.0,10883986.0,Yemen,29935468,56,527970
Nepal,NPL,2020.0,14902414.0,Nepal,29225196,203,143350
Venezuela,VEN,2020.0,61956236.0,Venezuela,28421581,32,882050
Madagascar,MDG,2020.0,3963948.0,Madagascar,27808395,48,581795
Cameroon,CMR,2020.0,9701611.0,Cameroon,26655083,56,472710
North Korea,PRK,2020.0,49814344.0,North Korea,25798588,214,120410
Australia,AUS,2020.0,396685200.0,Australia,25550683,3,7682300
Niger,NER,2020.0,2816703.0,Niger,24346468,19,1266700
Taiwan,TWN,2020.0,271788800.0,Taiwan,23824369,673,35410
Sri Lanka,LKA,2020.0,20624664.0,Sri Lanka,21428970,341,62710
Burkina Faso,BFA,2020.0,5194114.0,Burkina Faso,20997293,76,273600
Mali,MLI,2020.0,6418546.0,Mali,20346106,17,1220190
Romania,ROU,2020.0,74026536.0,Romania,19214608,84,230170
Malawi,MWI,2020.0,1870757.0,Malawi,19211425,203,94280
Chile,CHL,2020.0,80178160.0,Chile,19144605,26,743532
Kazakhstan,KAZ,2020.0,255486480.0,Kazakhstan,18815231,7,2699700
Zambia,ZMB,2020.0,8144346.0,Zambia,18468257,25,743390
Guatemala,GTM,2020.0,17336898.0,Guatemala,17971382,167,107160
Ecuador,ECU,2020.0,32909420.0,Ecuador,17688599,71,248360
Syria,SYR,2020.0,26312742.0,Syria,17571053,95,183630
Netherlands,NLD,2020.0,136684620.0,Netherlands,17141544,508,33720
Senegal,SEN,2020.0,10820952.0,Senegal,16816539,87,192530
Cambodia,KHM,2020.0,19034220.0,Cambodia,16758448,95,176520
Chad,TCD,2020.0,2279219.0,Chad,16502877,13,1259200
Somalia,SOM,2020.0,597232.0,Somalia,15965848,25,627340
Zimbabwe,ZWE,2020.0,7849639.0,Zimbabwe,14899771,38,386850
Guinea,GIN,2020.0,4499392.0,Guinea,13191279,53,245720
Rwanda,RWA,2020.0,1371813.0,Rwanda,13005303,525,24670
